Населённый пункт,Регион,Код ИАТА,Код ИКАО,Внутр. код,Название аэропорта,"Длина ВПП, м","Ширина ВПП, м",Статус,Сайт
Олёкминск,Якутия,OLZ,UEMO,ОЛК,Олёкминск,1900 м,,,aerosever.ru
"Омск, город",Омская область,,UNOS,ОМВ,Омск-Северный,3005 м,,,
"Омск, город",Омская область,OMS,UNOO,ОМС,Омск-Центральный,2500 м,45 м,"межд., фед. знач.",aeroomsk.ru
Онега,Архангельская область,,ULAO,ОНА,Онега,700 м,,,
"Оренбург, город",Оренбургская область,REN,UWOO,ОНГ,Оренбург-Центральный,2501 м,42 м,"межд., фед. знач.",orenairport.ru
Орск,Оренбургская область,OSW,UWOR,ОСК,Орск,2900 м,42 м,"межд., фед. знач.",aviaorsk.ru
Оха,Сахалинская область,OHH,UHSH,ОХА,Оха,1300 м,,,airportokha.ru
Охотск,Хабаровский край,OHO,UHOO,ОХТ,Охотск,1780 м,,,apdv.net
Палана,Камчатский край,,UHPL,ПАН,Палана,1440 м,,,airkam.ru
Певек,Чукотский АО,PWE,UHMP,ПЕВ,Певек,2500 м,,,
"Пенза, город",Пензенская область,PEZ,UWPP,ПНА,Пенза,2800 м,,фед. знач.,airport58.ru
"Пермь, город",Пермский край,PEE,USPP,ПРЬ,Большое Савино,3200 м,49 м,"межд., фед. знач.",aviaperm.ru
Петрозаводск,Карелия,PES,ULPB,ПТБ,Бесовец,2500 м,48 м,"межд., фед. знач.",karelavia.ru
Петрозаводск,Карелия,,ULPP,ПТД,Пески,700 м,,,
Петропавловск-Камчатский,Камчатский край,PKC,UHPP,ПРЛ,Елизово,3400 м,60 м,"межд., фед. знач.",airport-pkc.ru
Печора,Коми,PEX,UUYP,ПЧР,Печора,1800 м,,,
"Пионерный, вахтовый посёлок",Томская область,,UNSP[5],,Пионерный[6][7],,,,
Провидения,Чукотский АО,PVS,UHMD,ПРД,Бухта Провидения,2000 м,52 м,"межд., фед. знач.",
Псков,Псковская область,PKV,ULOO,ПСК,Псков,2514 м,44 м,"межд., фед. знач.",pskovavia.ru
Пушкин,Санкт-Петербург,,ULLP,ПШН,Пушкин,2500 м,,,
"Ростов-на-Дону, город",Ростовская область,ROV,URRP,РОВ,Платов,3600 м,45 м,"межд., фед. знач.",platov.aero
Рыбинск,Ярославская область,RYB,UUBK,РБН,Староселье,2500 м,,,npo-saturn.ru
Сабетта,Ямало-Ненецкий АО,SBT,USDA,СБТ,Сабетта,2704 м,46 м,"межд., фед. знач.",sabetta.aero
Салехард,Ямало-Ненецкий АО,SLY,USDD,СХД,Салехард,2720 м,,фед. знач.,apsalekhard.ru
"Самара, город",Самарская область,KUF,UWWW,СКЧ,Курумоч,3000 м,45 м,"межд., фед. знач.",airport.samara.ru
Санкт-Петербург,,"LED, RHV",ULLI,ПЛК,"Пулково , Ржевка (МВЛ)",3782 м,60 м,"межд., фед. знач.",pulkovoairport.ru
Саранск,Мордовия,SKX,UWPS,СРН,Саранск,2801 м,42 м,"межд., фед. знач.",aviamordovia.ru
"Саратов, город",Саратовская область,RTW,UWSS,СРО,Саратов-Центральный,2220 м,,"межд., фед. знач.",saratovairlines.ru
Сибай,Башкортостан,,UWUA,,Сибай,1920 м,,,
Симферополь,Республика Крым,SIP,UKFF,СИП,Симферополь,3701 м,60 м,"межд., фед. знач.",sipaero.ru
Советская Гавань,Хабаровский край,GVN,UHKM,СОГ,Май-Гатка,3000 м,,,
Советский,ХМАО,OVS,USHS,СОЙ,Советский,2600 м,,,
Соловецкие острова,Архангельская область,CSH,ULAS,СОИ,Соловки,1500 м,,,2aoao.ru
"Сочи, город",Краснодарский край,AER,URSS,СОЧ,Адлер-Сочи,2850 м,45 м,"межд., фед. знач.",basel.aero
"Ставрополь, город",Ставропольский край,STW,URMT,СТВ,Шпаковское,2600 м,48 м,"межд., фед. знач.",stavavia.ru
Старый Оскол,Белгородская область,,UUOS,СОЛ,Старый Оскол,1800 м,42 м,,airportoskol.ru
Стрежевой,Томская область,SWT,UNSS,СТЖ,Стрежевой,1998 м,,,
Сунтар,Якутия,SUY,UENS,СУН,Сунтар,1800 м,,,aerosever.ru
Сургут,ХМАО,SGC,USRR,СУР,Сургут,2780 м,45 м,"межд., фед. знач.",airport-surgut.ru
Сыктывкар,Коми,SCW,UUYY,СЫВ,Сыктывкар,2500 м,50 м,"межд., фед. знач.",komiaviatrans.ruairport
"Таганрог, город",Ростовская область,TGK,URRT,ТАГ,Таганрог-Южный,2807 м,,,beriev.com
"Тамбов, город",Тамбовская область,TBW,UUOT,ТМБ,Донское,2100 м,,,airport.tambov.ru
Тарко-Сале,Ямало-Ненецкий АО,TQL,USDS,ТКС,Тарко-Сале,2000 м,,,
"Тверь, город",Тверская область,,UUBN,ТРЬ,Змеёво,850 м,,,
"Тверь, город",Тверская область,KLD,UUEM,ТВГ,Мигалово,2500 м,,,
Тикси,Якутия,IKS,UEST,ТСИ,Тикси,3000 м,,,aerosever.ru
Тиличики,Камчатский край,,UHPT,ТИЛ,Тиличики,1380 м,,,airkam.ru
"Томск, город",Томская область,TOF,UNTT,ТСК,Богашёво,2500 м,50 м,"межд., фед. знач.",tomskairport.ru
Тура,Красноярский край,,UNIT,ТАУ,Горный,1400 м,,,
Тында,Амурская область,TYD,UHBW,ТЫД,Тында,1923 м,,,
"Тюмень, город",Тюменская область,,USTL,ПЛХ,Плеханово (МВЛ),1100 м,,,
Тюмень,Тюменская область,TJM,USTR,РЩН,Рощино,3000 м,45 м,"межд., фед. знач.",tjm.aero
Удачный,Якутия,PYJ,UERP,ПЛЯ,Полярный,3100 м,,,aerosever.ru
"Улан-Удэ, город",Бурятия,UUD,UIUU,УЛЭ,Улан-Удэ (Мухино),2997 м,45 м,"межд., фед. знач.",airportbaikal.ru
"Улан-Удэ, город",Бурятия,,UIUW,,Улан-Удэ (Восточный),3000 м,,,
"Ульяновск, город",Ульяновская область,ULV,UWLL,УЛК,Ульяновск (Баратаевка),3820 м,60 м,"межд., фед. знач.",ulk.aero
"Ульяновск, город",Ульяновская область,ULY,UWLW,УЛС,Ульяновск (Восточный),5100 м,105 м,"межд., фед. знач.",ulvost.aero
Урай,ХМАО,URJ,USHU,,Урай,2300 м,,,
Усинск,Коми,USK,UUYS,УСН,Усинск,2502 м,,,
Усть-Илимск,Иркутская область,UIK,UIBS,,Усть-Илимск,3000 м,,,
Усть-Куйга,Якутия,UKG,UEBT,УКУ,Усть-Куйга,1800 м,,,aerosever.ru
Усть-Кут,Иркутская область,UKX,UITT,УСК,Усть-Кут,2000 м,,,
Усть-Нера,Якутия,USR,UEMT,УНР,Усть-Нера,1600 м,,,aerosever.ru
"Уфа, город",Башкортостан,UFA,UWUU,УФА,Уфа,3760 м,60 м,"межд., фед. знач.",airportufa.ru
Ухта,Коми,UCT,UUYH,УХТ,Ухта,2656 м,,,
"Хабаровск, город",Хабаровский край,,UHHT,ХБА,Хабаровск (МВЛ),970 м,,,
"Хабаровск, город",Хабаровский край,KHV,UHHH,ХБР,Хабаровск-Новый,4000 м,60 м,"межд., фед. знач.",airkhv.ru
Хандыга,Якутия,KDY,UEMH,ХДЫ,Хандыга (Теплый ключ),1800 м,,,aerosever.ru
"Ханты-Мансийск, город",Ханты-Мансийский АО,HMA,USHH,ХАС,Ханты-Мансийск,2800 м,,"межд., фед. знач.",ugraavia.ru
Харута,Ненецкий АО,,ULER,ХАУ,Харута,650 м,,,
